"a2:a2a:lemna minor community, typical sub-community",A7b,"Nymphaea alba community, Juncus bulbosus-Potamogeton polygonifolius sub-community",A7
"a2:a2a:lemna minor community, typical sub-community",A8,Nuphar lutea community,A8
"a2:a2a:lemna minor community, typical sub-community",A8a,"Nuphar lutea community, species-poor sub-community",A8
"a2:a2a:lemna minor community, typical sub-community",A8b,"Nuphar lutea community, Callitriche stagnalis-Zannichellia palustris sub-community",A8
"a2:a2a:lemna minor community, typical sub-community",A8c,"Nuphar lutea community, Nymphaea alba sub-community",A8
"a2:a2b:lemna minor community, lemna trisulca sub-community",A8d,"Nuphar lutea community, Potamogeton obtusifolius-Juncus bulbosus sub-community",A8
"a2:a2b:lemna minor community, lemna trisulca sub-community",A9,Potamogeton natans community,A9
"a2:a2b:lemna minor community, lemna trisulca sub-community",A9a,"Potamogeton natans community, species-poor sub-community",A9
"a2:a2b:lemna minor community, lemna trisulca sub-community",A9b,"Potamogeton natans community, Elodea canadensis sub-community",A9
"a2:a2b:lemna minor community, lemna trisulca sub-community",A9c,"Potamogeton natans community, Juncus bulbosus-Myriophyllum alterniflorum sub-community",A9
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG1,Festuca ovina-Carlina vulgaris grassland,CG1
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG10,Festuca ovina-Agrostis capillaris-Thymus praecox grassland,CG10
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG10a,"Festuca ovina-Agrostis capillaris-Thymus praecox grassland, Trifolium repens-Luzula campestris sub-community",CG10
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG10b,"Festuca ovina-Agrostis capillaris-Thymus praecox grassland, Carex pulicaris-Carex panicea sub-community",CG10
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG10c,"Festuca ovina-Agrostis capillaris-Thymus praecox grassland, Saxifraga aizoides-Ditrichum flexicaule sub-community",CG10
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG11,Festuca ovina-Agrostis capillaris-Alchemilla alpina grass-heath,CG11
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG11a,"Festuca ovina-Agrostis capillaris-Alchemilla alpina grass-heath, typical sub-community",CG11
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG11b,"Festuca ovina-Agrostis capillaris-Alchemilla alpina grass-heath, Carex pulicaris-Carex panicea sub-community",CG11
"a2:a2b:lemna minor community, lemna trisulca sub-community",CG12,Festuca ovina-Alchemilla alpina-Silene acaulis dwarf-herb community,CG12
"a2:a2c:lemna minor community, riccia fluitans-ricciocarpus natans sub-community",CG13,Dryas octopetala-Carex flacca heath,CG13
"a2:a2c:lemna minor community, riccia fluitans-ricciocarpus natans sub-community",CG13a,"Dryas octopetala-Carex flacca heath, Hieracium pilosella-Ctenidium molluscum sub-community",CG13
"a2:a2c:lemna minor community, riccia fluitans-ricciocarpus natans sub-community",CG13b,"Dryas octopetala-Carex flacca heath, Salix repens-Empetrum nigrum ssp. nigrum sub-community",CG13
"a2:a2c:lemna minor community, riccia fluitans-ricciocarpus natans sub-community",CG14,Dryas octopetala-Silene acaulis ledge community,CG14
"a2:a2c:lemna minor community, riccia fluitans-ricciocarpus natans sub-community",CG1a,"Festuca ovina-Carlina vulgaris grassland, Carex humilis sub-community",CG1
"a2:a2c:lemna minor community, riccia fluitans-ricciocarpus natans sub-community",CG1b,"Festuca ovina-Carlina vulgaris grassland, Scilla autumnalis-Euphorbia portlandica sub-community",CG1
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG1c,"Festuca ovina-Carlina vulgaris grassland, Trinia glauca sub-community",CG1
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG1d,"Festuca ovina-Carlina vulgaris grassland, Helianthemum canum sub-community",CG1
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG1e,"Festuca ovina-Carlina vulgaris grassland, Koeleria macrantha sub-community",CG1
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG1f,"Festuca ovina-Carlina vulgaris grassland, Festuca rubra-Scilla verna sub-community",CG1
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG2,Festuca ovina-Avenula pratensis grassland,CG2
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG2a,"Festuca ovina-Avenula pratensis grassland, Cirsium acaule-Asperula cynanchica sub-community",CG2
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG2b,"Festuca ovina-Avenula pratensis grassland, Succisa pratensis-Leucanthemum vulgare sub-community",CG2
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG2c,"Festuca ovina-Avenula pratensis grassland, Holcus lanatus-Trifolium repens sub-community",CG2
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG2d,"Festuca ovina-Avenula pratensis grassland, Dicranum scoparium sub-community",CG2
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG3,Bromus erectus grassland,CG3
a3:a3:spirodela polyrhiza-hydrocharis morsus-ranae community,CG3a,"Bromus erectus grassland, typical sub-community",CG3
