CG2CG2CG3,CG2,CG3,0.5
CG2CG2W21,CG2,W21,0.5
CG2CG2MG7,CG2,MG7,0.5
CG2CG2ACG2,CG2a,CG2,0.5
CG2CG2ACG1,CG2a,CG1,0.5
CG2CG2ACG7,CG2a,CG7,0.5
CG2CG2AMC11,CG2a,MC11,0.5
CG2CG2ACG3,CG2a,CG3,0.5
CG2CG2AW21,CG2a,W21,0.5
CG2CG2AMG7,CG2a,MG7,0.5
CG2CG2BCG2,CG2b,CG2,0.5
CG2CG2BCG1,CG2b,CG1,0.5
CG2CG2BCG7,CG2b,CG7,0.5
CG2CG2BMC11,CG2b,MC11,0.5
CG2CG2BCG3,CG2b,CG3,0.5
CG2CG2BW21,CG2b,W21,0.5
CG2CG2BMG7,CG2b,MG7,0.5
CG2CG2CCG2,CG2c,CG2,0.5
CG2CG2CCG1,CG2c,CG1,0.5
CG2CG2CCG7,CG2c,CG7,0.5
CG2CG2CMC11,CG2c,MC11,0.5
CG2CG2CCG3,CG2c,CG3,0.5
CG2CG2CW21,CG2c,W21,0.5
CG2CG2CMG7,CG2c,MG7,0.5
CG2CG2DCG2,CG2d,CG2,0.5
CG2CG2DCG1,CG2d,CG1,0.5
CG2CG2DCG7,CG2d,CG7,0.5
CG2CG2DMC11,CG2d,MC11,0.5
CG2CG2DCG3,CG2d,CG3,0.5
CG2CG2DW21,CG2d,W21,0.5
CG2CG2DMG7,CG2d,MG7,0.5
CG3CG3CG2,CG3,CG2,0.5
CG3CG3ACG2,CG3a,CG2,0.5
CG3CG3BCG2,CG3b,CG2,0.5
CG3CG3CCG2,CG3c,CG2,0.5
CG3CG3DCG2,CG3d,CG2,0.5
CG4CG4CG2,CG4,CG2,0.5
CG4CG4ACG2,CG4a,CG2,0.5
CG4CG4BCG2,CG4b,CG2,0.5
CG4CG4CCG2,CG4c,CG2,0.5
CG5CG5CG2,CG5,CG2,0.5
CG5CG5ACG2,CG5a,CG2,0.5
